site,landuse,area_ha,Prop
MP1,Plantation / Woodlots young,19.11298246,0.060659427
MP1,Plantations / Woodlots mature,262.828869,0.834147613
MP1,Thicket /Dense bush,1.05530428,0.00334925
MP1,Urban built-up (low veg / grass),5.85,0.018566315
MP1,Urban built-up (open trees / bush),1.35,0.004284534
MP1,Wetlands,0.09,0.000285636
MP1,Woodlan/Open bush,5.235756558,0.016616873
MP2,Cultivated comm fields (high),1.889706167,0.005997817
MP2,Cultivated comm fields (low),6.065206793,0.019250614
MP2,Cultivated comm fields (med),23.10264966,0.073326466
MP2,Grassland,49.89567469,0.158365969
MP2,Plantation / Woodlots clearfelled,5.22,0.016567976
MP2,Plantation / Woodlots young,3.774617983,0.011980418
MP2,Plantations / Woodlots mature,119.7986044,0.380233801
MP2,Thicket /Dense bush,49.71563184,0.157794523
MP2,Woodlan/Open bush,55.60354441,0.176482415
MP3,Grassland,51.6005122,0.163732605
MP3,Low shrubland,0.30401941,0.000964678
MP3,Thicket /Dense bush,196.5399526,0.623637191
MP3,Woodlan/Open bush,66.70662503,0.211665525
MP4,Grassland,35.63804093,0.113076947
MP4,Plantation / Woodlots clearfelled,22.59419553,0.071689762
MP4,Plantation / Woodlots young,8.77163941,0.027831783
MP4,Plantations / Woodlots mature,108.357934,0.343811951
MP4,Thicket /Dense bush,105.8152803,0.335744293
MP4,Woodlan/Open bush,33.9891907,0.107845264
MP5,Grassland,12.81891742,0.04067255
MP5,Plantation / Woodlots clearfelled,6.365490161,0.020196769
MP5,Plantation / Woodlots young,8.836019886,0.028035399
MP5,Plantations / Woodlots mature,268.4365472,0.851709905
MP5,Thicket /Dense bush,6.382230309,0.020249883
MP5,Woodlan/Open bush,12.33447769,0.039135494
MP6,Cultivated comm fields (high),0.09,0.000285725
MP6,Cultivated comm fields (low),0.00020993,6.66E-07
MP6,Cultivated comm fields (med),1.026015473,0.003257319
MP6,Grassland,8.343876438,0.026489532
MP6,Plantation / Woodlots clearfelled,14.58896421,0.046315983
MP6,Plantation / Woodlots young,13.25691638,0.042087095
MP6,Plantations / Woodlots mature,263.9364851,0.837926369
MP6,Thicket /Dense bush,1.74291121,0.005533268
MP6,Urban built-up (bare),0.18,0.000571451
MP6,Urban built-up (low veg / grass),0.759382199,0.002410831
MP6,Urban built-up (open trees / bush),0.118569008,0.000376424
MP6,Woodlan/Open bush,10.94435254,0.034745335
MP7,Bare none vegetated,0.09,0.000285679
MP7,Cultivated orchards (high),5.76,0.018283442
MP7,Cultivated orchards (low),0.09,0.000285679
MP7,Cultivated orchards (med),0.36,0.001142715
MP7,Grassland,28.97209779,0.091963486
MP7,Plantation / Woodlots clearfelled,32.58,0.10341572
MP7,Plantation / Woodlots young,7.651265232,0.024286713
MP7,Plantations / Woodlots mature,227.9358811,0.723516063
MP7,Thicket /Dense bush,0.186326444,0.000591439
MP7,Urban built-up (bare),0.09,0.000285679
MP7,Urban built-up (low veg / grass),1.44,0.004570861
MP7,Urban built-up (open trees / bush),0.54,0.001714073
MP7,Woodlan/Open bush,9.343573507,0.029658453
