"","Family","MorphousSp","MorphousSpKZN","MorphousSpMP","Commonness","Abundance","KZN2","KZN3","MP3","MP4"
"Scarabaeidae_Aphodiinae_sp1","Scarabaeidae",0,0,0,0,0,0,0,0,0
"Melyridae_Malachiinae_Colotes_plagiallus","Melyridae",1,1,1,3,76,3,0,4,69
"Melyridae_Malachiinae_Scelomixis_zuluensis","Melyridae",1,0,1,1,3,0,0,0,3
"Melyridae_Malachiinae_Urodactylus_consobrinus","Melyridae",0,0,0,0,0,0,0,0,0
"Melyridae_Malachiinae_Attalus_divisus","Melyridae",0,0,0,0,0,0,0,0,0
"Melyridae_Malachiinae_Chalicorophasis_sp1","Melyridae",0,0,0,0,0,0,0,0,0
"Melyridae_Malachiinae_sp1","Melyridae",0,0,0,0,0,0,0,0,0
"Melyridae_Malachiinae_sp2","Melyridae",0,0,0,0,0,0,0,0,0
"Melyridae_Malachiinae_sp3","Melyridae",0,0,0,0,0,0,0,0,0
"Melyridae_Malachiinae_sp4","Melyridae",0,0,0,0,0,0,0,0,0
"Melyridae_Malachiinae_sp5","Melyridae",0,0,0,0,0,0,0,0,0
"Melyridae_Malachiinae_sp6","Melyridae",0,0,0,0,0,0,0,0,0
"Melyridae_Malachiinae_sp8","Melyridae",0,0,0,0,0,0,0,0,0
"Melyridae_Malachiinae_sp9","Melyridae",1,0,1,1,1,0,0,0,1
"Nitidulidae_Cillaeinae_Colopterus","Nitidulidae",1,0,1,1,1,0,0,1,0
"Nitidulidae_Nitidulidae_sp1","Nitidulidae",1,1,1,2,5,1,0,0,4
"Nitidulidae_Nitidulidae_sp2","Nitidulidae",1,1,1,3,3,1,0,1,1
"Nitidulidae_Nitidulidae_sp3","Nitidulidae",1,1,0,1,1,1,0,0,0
"Nitidulidae_Nitidulidae_sp4","Nitidulidae",0,0,0,0,0,0,0,0,0
"Nitidulidae_Nitidulidae_sp5","Nitidulidae",0,0,0,0,0,0,0,0,0
"Nitidulidae_Nitidulidae_sp6","Nitidulidae",1,1,0,1,1,1,0,0,0
"Nitidulidae_Nitidulidae_sp7","Nitidulidae",0,0,0,0,0,0,0,0,0
"Salpingidae_Salpingidae_or_Pythidae_Sphaeristes_sp_Sphaeristes_sp","Salpingidae",1,1,0,2,36,33,3,0,0
"Salpingidae_Salpingidae_sp2","Salpingidae",1,1,0,1,4,0,4,0,0
"Lathridiidae_Corticaria_sp1","Lathridiidae",1,1,1,3,45,37,0,2,6
"Lathridiidae_Corticaria_sp2","Lathridiidae",0,0,0,0,0,0,0,0,0
"Lathridiidae_Aridius_nodifer","Lathridiidae",0,0,0,0,0,0,0,0,0
"Lathridiidae_Cartodere_constrictus","Lathridiidae",0,0,0,0,0,0,0,0,0
"Lathridiidae_Lathridiidae_sp1","Lathridiidae",0,0,0,0,0,0,0,0,0
"Silvanidae_Cryptomorpha_desjardinsii","Silvanidae",0,0,0,0,0,0,0,0,0
"Silvanidae_Psammoecus_sp1","Silvanidae",0,0,0,0,0,0,0,0,0
"Silvanidae_Silvanidae_sp1","Silvanidae",0,0,0,0,0,0,0,0,0
"Mordellidae_Mordellidae_sp1","Mordellidae",0,0,0,0,0,0,0,0,0
"Mordellidae_Mordellidae_sp2","Mordellidae",1,1,1,2,10,6,0,0,4
"Mordellidae_Mordellidae_sp3","Mordellidae",1,1,1,3,11,6,1,0,4
"Mordellidae_Mordellidae_sp4","Mordellidae",0,0,0,0,0,0,0,0,0
"Mordellidae_Mordellidae_sp5","Mordellidae",0,0,0,0,0,0,0,0,0
"Mordellidae_Mordellidae_sp6","Mordellidae",0,0,0,0,0,0,0,0,0
"Carabidae_Lebiinae_Coptoptera_apicalis_P_r","Carabidae",1,1,0,2,146,126,20,0,0
"Carabidae_Lebiinae_sp1","Carabidae",0,0,0,0,0,0,0,0,0
"Carabidae_Lebiinae_sp2","Carabidae",1,1,0,1,1,1,0,0,0
"Carabidae_Lebiinae_sp3","Carabidae",0,0,0,0,0,0,0,0,0
"Carabidae_Lebiinae_Calleida_Callidiola_insuelta","Carabidae",0,0,0,0,0,0,0,0,0
"Carabidae_Lebiinae_Polyaulacus_brunneus","Carabidae",1,0,1,1,1,0,0,1,0
"Carabidae_Lebiinae_Lebia_sp1","Carabidae",1,0,1,1,2,0,0,0,2
"Carabidae_Lebiinae_Peliocypadina","Carabidae",0,0,0,0,0,0,0,0,0
"Carabidae_Lebiinae_Metaxymorphus","Carabidae",0,0,0,0,0,0,0,0,0
"Carabidae_Harpalinae_sp1","Carabidae",1,1,0,1,1,0,1,0,0
"Carabidae_Trechinae_sp1","Carabidae",1,1,0,1,1,0,1,0,0
"Zopheridae_Colydiinae_Synchitini_sp1","Zopheridae",1,0,1,1,2,0,0,0,2
"Zopheridae_Colydiinae_Synchitini_Sassaka_marshalli","Zopheridae",0,0,0,0,0,0,0,0,0
"Zopheridae_Colydiinae_Synchitin_Xyloluemus_africanus","Zopheridae",1,1,0,2,3,2,1,0,0
"Anthicidae_Formicomini_Anthelephia_Formicomus_rubricollis","Anthicidae",0,0,0,0,0,0,0,0,0
"Anthicidae_Microhorini_Anthicus_Aulacorderus_erratus","Anthicidae",1,0,1,1,1,0,0,0,1
"Anthicidae_Notoxinae_Notoxus","Anthicidae",0,0,0,0,0,0,0,0,0
"Anthicidae_Anthicidae_sp1","Anthicidae",0,0,0,0,0,0,0,0,0
"Scydmaenidae_Scydmaenidae_sp1","Scydmaenidae",0,0,0,0,0,0,0,0,0
"Scydmaenidae_Scydmaenidae_sp2","Scydmaenidae",0,0,0,0,0,0,0,0,0
"Scydmaenidae_Scydmaenidae_sp3","Scydmaenidae",1,1,0,1,11,11,0,0,0
"Corylophidae_Corylophidae_sp1_","Corylophidae",1,0,1,1,3,0,0,3,0
"Corylophidae_Corylophidae_sp2_","Corylophidae",1,1,1,3,18,6,0,8,4
"Corylophidae_Corylophidae_sp3_","Corylophidae",1,1,1,3,7,0,2,1,4
"Corylophidae_Corylophidae_sp4","Corylophidae",1,1,0,1,1,1,0,0,0
"Corylophidae_Corylophidae__sp5","Corylophidae",1,0,1,2,2,0,0,1,1
"Laemophloeidae_Laemophloeidae_spp_1","Laemophloeidae",1,1,1,3,61,1,11,0,49
"Phalacridae_Phalacridae_sp1","Phalacridae",1,1,1,4,139,1,2,1,135
"Phalacridae_Phalacridae_sp2","Phalacridae",0,0,0,0,0,0,0,0,0
"Phalacridae_Phalacridae_sp3","Phalacridae",1,1,1,2,44,3,0,0,41
"Ptiliidae_Ptiliidae_spp","Ptiliidae",1,1,0,1,1,1,0,0,0
"Coccinellidae_Rodalia_icerydae","Coccinellidae",0,0,0,0,0,0,0,0,0
"Coccinellidae_Micraspis_striata","Coccinellidae",0,0,0,0,0,0,0,0,0
"Coccinellidae_Lotis_ovata","Coccinellidae",0,0,0,0,0,0,0,0,0
"Coccinellidae_Rhyzobius_burmeisteri","Coccinellidae",0,0,0,0,0,0,0,0,0
"Coccinellidae_Scymnus_nubilus","Coccinellidae",1,1,1,2,21,2,0,0,19
"Coccinellidae_Scymnus_capicola","Coccinellidae",1,1,1,2,32,2,0,0,30
"Coccinellidae_Scymnus_sp1","Coccinellidae",0,0,0,0,0,0,0,0,0
"Coccinellidae_Hyperaspis_capeneri_Mader","Coccinellidae",1,0,1,1,1,0,0,0,1
"Coccinellidae_Lotis_nigritulus","Coccinellidae",0,0,0,0,0,0,0,0,0
"Coccinellidae_Harmonia_axyridis","Coccinellidae",1,1,1,3,16,5,0,3,8
"Coccinellidae_Coccinellidae_sp1","Coccinellidae",0,0,0,0,0,0,0,0,0
"Coccinellidae_Coccinellidae_sp2","Coccinellidae",1,0,1,2,4,0,0,2,2
"Coccinellidae_Coccinellidae_sp3","Coccinellidae",1,1,1,2,6,1,0,0,5
"Coccinellidae_Coccinellidae_sp4_","Coccinellidae",1,1,1,2,2,1,0,0,1
"Coccinellidae_Coccinellidae_sp5","Coccinellidae",0,0,0,0,0,0,0,0,0
"Coccinellidae_Coccinellidae_sp6","Coccinellidae",0,0,0,0,0,0,0,0,0
"Coccinellidae_Cheilomenes_lunata","Coccinellidae",0,0,0,0,0,0,0,0,0
"Coccinellidae_Exochomus_bifasciata","Coccinellidae",1,1,0,1,1,1,0,0,0
"Tenebrionidae_Allecullinae_sp1","Tenebrionidae",1,0,1,1,1,0,0,0,1
"Tenebrionidae_Allecullinae_sp2","Tenebrionidae",0,0,0,0,0,0,0,0,0
"Tenebrionidae_Alleculinae_sp3","Tenebrionidae",0,0,0,0,0,0,0,0,0
"Tenebrionidae_Alleculinae_sp4","Tenebrionidae",1,0,1,1,6,0,0,0,6
"Tenebrionidae_Alleculinae_sp5","Tenebrionidae",0,0,0,0,0,0,0,0,0
"Tenebrionidae_Tenebrioninae_Amarygmini_Hoplonyx_sp1","Tenebrionidae",1,1,0,1,1,1,0,0,0
"Tenebrionidae_Lagrinae_Lagria_sp1","Tenebrionidae",0,0,0,0,0,0,0,0,0
"Tenebrionidae_Lagrinae_Lagria_vulnerata","Tenebrionidae",1,0,1,2,6,0,0,3,3
"Tenebrionidae_Tenebrioninae_Strongylini_Strongylium_sp1","Tenebrionidae",0,0,0,0,0,0,0,0,0
"Tenebrionidae_Paramarysmus_sp1","Tenebrionidae",1,1,1,4,43,3,1,1,38
"Tenebrionidae_Tenebrionidae_sp1","Tenebrionidae",0,0,0,0,0,0,0,0,0
"Lycidae_Cautires_natalensis","Lycidae",1,0,1,1,1,0,0,0,1
"Lycidae_Flagrax_sp1","Lycidae",1,1,0,1,3,3,0,0,0
"Cantharidae_Cantharis_circundata","Cantharidae",1,0,1,1,1,0,0,0,1
"Cantharidae_Cantharis_caffra","Cantharidae",1,0,1,1,1,0,0,0,1
"Biphyllidae_Philodermopsis_hirtum","Biphyllidae",1,0,1,1,1,0,0,1,0
"Endomychidae_Endomychidae_sp1","Endomychidae",0,0,0,0,0,0,0,0,0
"Mycetophagidae_Mycetophagidae_sp1","Mycetophagidae",1,0,1,1,1,0,0,0,1
"Cryptophagidae_Micrambe_sp1","Cryptophagidae",1,1,0,2,4,3,1,0,0
"Meloidae_Mylabris_alterna","Meloidae",0,0,0,0,0,0,0,0,0
"Scraptidae_Scraptidae_sp1","Scraptidae",1,1,1,3,21,2,0,1,18
"Scirtidae_Scirtidae_sp1","Scirtidae",1,0,1,1,1,0,0,0,1
"Scirtidae_Scirtidae_sp2","Scirtidae",1,0,1,1,7,0,0,0,7
"Ptinidae_Ptininae_sp1","Ptinidae",1,1,1,2,14,12,0,0,2
"Ptinidae_Ptinidae_sp2","Ptinidae",1,1,0,1,1,1,0,0,0
"Ciidae_Ciidae_sp1","Ciidae",1,1,1,3,15,2,12,1,0
"Anthribidae_Choraginae_Cisanthribini_or_Valentriesiini","Anthribidae",1,1,0,1,67,67,0,0,0
"Curculionidae_Scolytinae_sp1","Curculionidae",1,1,0,1,2,0,2,0,0
"Curculionidae_Scolytinae_Scolytinae_sp2","Curculionidae",1,0,1,1,1,0,0,1,0
"Curculionidae_Scolytinae_sp3","Curculionidae",1,1,0,1,3,0,3,0,0
"Curculionidae_Scolytinae_sp4","Curculionidae",0,0,0,0,0,0,0,0,0
"Curculionidae_Scolytinae_sp5","Curculionidae",1,0,1,2,2,0,0,1,1
"Curculionidae_Scolytinae_sp6","Curculionidae",0,0,0,0,0,0,0,0,0
"Curculionidae_Scolytinae_sp7","Curculionidae",0,0,0,0,0,0,0,0,0
